"자형","코드",,,,,,,,
,,"대표음1","대표음2","대표음3","대표음4","대표음5","대표음6",,
"㯇","U+3BC7","폐",,,,,,,
"㯈","U+3BC8","속",,,,,,,
"㯉","U+3BC9","확",,,,,,,
"㯊","U+3BCA","흔",,,,,,,
"㯋","U+3BCB","경",,,,,,,
"㯌","U+3BCC","연",,,,,,,
"㯍","U+3BCD","장",,,,,,,
"㯎","U+3BCE","논",,,,,,,
"㯏","U+3BCF","형",,,,,,,
"㯐","U+3BD0","타",,,,,,,
"㯑","U+3BD1","장",,,,,,,
"㯒","U+3BD2","멱",,,,,,,
"㯓","U+3BD3","탑",,,,,,,
"㯔","U+3BD4","취",,,,,,,
"㯕","U+3BD5","서",,,,,,,
"㯖","U+3BD6","덕",,,,,,,
"㯗","U+3BD7","한",,,,,,,
"㯘","U+3BD8","관","완",,,,,,
"㯙","U+3BD9","철",,,,,,,
"㯚","U+3BDA","답",,,,,,,
"㯛","U+3BDB","호",,,,,,,
"㯜","U+3BDC","취",,,,,,,
"㯝","U+3BDD","로","노",,,,,,
"㯞","U+3BDE","견",,,,,,,
"㯟","U+3BDF","록","녹",,,,,,
"㯠","U+3BE0","견",,,,,,,
"㯡","U+3BE1","포",,,,,,,
"㯢","U+3BE2","짐",,,,,,,
"㯣","U+3BE3","분",,,,,,,
"㯤","U+3BE4","력","역",,,,,,
"㯥","U+3BE5","조",,,,,,,
"㯦","U+3BE6","기",,,,,,,
"㯧","U+3BE7","초",,,,,,,
"㯨","U+3BE8","속",,,,,,,
"㯩","U+3BE9","제",,,,,,,
"㯪","U+3BEA","령","영",,,,,,
"㯫","U+3BEB","거",,,,,,,
"㯬","U+3BEC","렴","염",,,,,,
"㯭","U+3BED","로","노",,,,,,
"㯮","U+3BEE","촉",,,,,,,
"㯯","U+3BEF","공",,,,,,,
"㯰","U+3BF0","식",,,,,,,
"㯱","U+3BF1","표",,,,,,,
"㯲","U+3BF2","금",,,,,,,
"㯳","U+3BF3","경",,,,,,,
"㯴","U+3BF4","용",,,,,,,
"㯵","U+3BF5","동",,,,,,,
"㯶","U+3BF6","종",,,,,,,
"㯷","U+3BF7","복",,,,,,,
"㯸","U+3BF8","진",,,,,,,
"㯹","U+3BF9","표",,,,,,,
"㯺","U+3BFA","함",,,,,,,
"㯻","U+3BFB","혼",,,,,,,
"㯼","U+3BFC","개",,,,,,,
"㯽","U+3BFD","빈",,,,,,,
"㯾","U+3BFE","조",,,,,,,
"㯿","U+3BFF","랍","납",,,,,,
"㰀","U+3C00","려","여",,,,,,
"㰁","U+3C01","가",,,,,,,
"㰂","U+3C02","심",,,,,,,
"㰃","U+3C03","면",,,,,,,
"㰄","U+3C04","전",,,,,,,
"㰅","U+3C05","적",,,,,,,
"㰆","U+3C06","배",,,,,,,
"㰇","U+3C07","참","삼","섬",,,,,
"㰈","U+3C08","렴","염",,,,,,
"㰉","U+3C09","진",,,,,,,
"㰊","U+3C0A","섬",,,,,,,
"㰋","U+3C0B","빈",,,,,,,
"㰌","U+3C0C","각",,,,,,,
"㰍","U+3C0D","롱","농",,,,,,
"㰎","U+3C0E","추",,,,,,,
"㰏","U+3C0F","고",,,,,,,
"㰐","U+3C10","타",,,,,,,
"㰑","U+3C11","삼",,,,,,,
"㰒","U+3C12","학",,,,,,,
"㰓","U+3C13","람","남",,,,,,
"㰔","U+3C14","섭",,,,,,,
"㰕","U+3C15","희",,,,,,,
"㰖","U+3C16","람","남",,,,,,
"㰗","U+3C17","축",,,,,,,
"㰘","U+3C18","이",,,,,,,
"㰙","U+3C19","나",,,,,,,
"㰚","U+3C1A","리","이",,,,,,
"㰛","U+3C1B","약",,,,,,,
"㰜","U+3C1C","전",,,,,,,
"㰝","U+3C1D","이",,,,,,,
"㰞","U+3C1E","치",,,,,,,
"㰟","U+3C1F","기",,,,,,,
"㰠","U+3C20","항",,,,,,,
"㰡","U+3C21","해",,,,,,,
"㰢","U+3C22","갱",,,,,,,
"㰣","U+3C23","자",,,,,,,
"㰤","U+3C24","하","가",,,,,,
"㰥","U+3C25","혜",,,,,,,
"㰦","U+3C26","거","가",,,,,,
"㰧","U+3C27","해",,,,,,,
"㰨","U+3C28","희",,,,,,,
"㰩","U+3C29","해",,,,,,,
"㰪","U+3C2A","애",,,,,,,
"㰫","U+3C2B","참",,,,,,,
"㰬","U+3C2C","순",,,,,,,
"㰭","U+3C2D","후",,,,,,,
"㰮","U+3C2E","신",,,,,,,
"㰯","U+3C2F","후","투",,,,,,
"㰰","U+3C30","합","협",,,,,,
"㰱","U+3C31","삽",,,,,,,
"㰲","U+3C32","욱","혁","촉",,,,,
"㰳","U+3C33","아",,,,,,,
"㰴","U+3C34","부",,,,,,,
"㰵","U+3C35","줄",,,,,,,
"㰶","U+3C36","우","구",,,,,,
"㰷","U+3C37","자",,,,,,,
"㰸","U+3C38","감","검",,,,,,
"㰹","U+3C39","함",,,,,,,
"㰺","U+3C3A","하",,,,,,,
"㰻","U+3C3B","이",,,,,,,
"㰼","U+3C3C","섭","겹",,,,,,
"㰽","U+3C3D","언",,,,,,,
"㰾","U+3C3E","교",,,,,,,
"㰿","U+3C3F","혜",,,,,,,
"㱀","U+3C40","치",,,,,,,
"㱁","U+3C41","수",,,,,,,
"㱂","U+3C42","강",,,,,,,
"㱃","U+3C43","음",,,,,,,
"㱄","U+3C44","흑",,,,,,,
"㱅","U+3C45","의",,,,,,,
"㱆","U+3C46","희",,,,,,,
"㱇","U+3C47","색",,,,,,,
"㱈","U+3C48","금",,,,,,,
"㱉","U+3C49","업",,,,,,,
"㱊","U+3C4A","우",,,,,,,
"㱋","U+3C4B","각",,,,,,,
"㱌","U+3C4C","업",,,,,,,
"㱍","U+3C4D","란","난",,,,,,
"㱎","U+3C4E","곤",,,,,,,
"㱏","U+3C4F","정",,,,,,,
"㱐","U+3C50","무",,,,,,,
"㱑","U+3C51","석",,,,,,,
"㱒","U+3C52","하","가",,,,,,
"㱔","U+3C54","사",,,,,,,
"㱕","U+3C55","귀",,,,,,,
"㱖","U+3C56","취",,,,,,,
"㱗","U+3C57","휴",,,,,,,
"㱘","U+3C58","염",,,,,,,
"㱙","U+3C59","후",,,,,,,
"㱚","U+3C5A","잔",,,,,,,
"㱛","U+3C5B","천",,,,,,,
"㱜","U+3C5C","찰",,,,,,,
"㱝","U+3C5D","력","역",,,,,,
"㱞","U+3C5E","읍",,,,,,,
"㱟","U+3C5F","피",,,,,,,
"㱠","U+3C60","고",,,,,,,
"㱡","U+3C61","승",,,,,,,
"㱢","U+3C62","랑","낭",,,,,,
"㱣","U+3C63","뇌",,,,,,,
"㱤","U+3C64","석",,,,,,,
"㱥","U+3C65","릉","능",,,,,,
"㱦","U+3C66","기",,,,,,,
"㱧","U+3C67","완",,,,,,,
"㱨","U+3C68","렴","염",,,,,,
"㱩","U+3C69","독",,,,,,,
"㱪","U+3C6A","혼",,,,,,,
"㱫","U+3C6B","란","난",,,,,,
"㱬","U+3C6C","외",,,,,,,
"㱭","U+3C6D","단",,,,,,,
"㱮","U+3C6E","궤",,,,,,,
"㱯","U+3C6F","애",,,,,,,
"㱰","U+3C70","재",,,,,,,
"㱱","U+3C71","회",,,,,,,
"㱲","U+3C72","애",,,,,,,
"㱳","U+3C73","막",,,,,,,
"㱴","U+3C74","자",,,,,,,
"㱵","U+3C75","분",,,,,,,
"㱶","U+3C76","팽",,,,,,,
"㱷","U+3C77","집",,,,,,,
"㱸","U+3C78","벽",,,,,,,
"㱹","U+3C79","력","역",,,,,,
"㱺","U+3C7A","려","여",,,,,,
"㱻","U+3C7B","라","나",,,,,,
"㱼","U+3C7C","이",,,,,,,
"㱽","U+3C7D","침",,,,,,,
"㱾","U+3C7E","해","개",,,,,,
"㱿","U+3C7F","각",,,,,,,
"㲀","U+3C80","진",,,,,,,
"㲁","U+3C81","공",,,,,,,
"㲂","U+3C82","쟁",,,,,,,
"㲃","U+3C83","구",,,,,,,
"㲄","U+3C84","구",,,,,,,
"㲅","U+3C85","계",,,,,,,
"㲆","U+3C86","령","영",,,,,,
"㲇","U+3C87","동",,,,,,,
"㲈","U+3C88","소",,,,,,,
"㲉","U+3C89","각",,,,,,,
"㲊","U+3C8A","예",,,,,,,
"㲋","U+3C8B","착",,,,,,,
"㲌","U+3C8C","녕","영",,,,,,
"㲍","U+3C8D","지",,,,,,,
"㲎","U+3C8E","루","누",,,,,,
"㲏","U+3C8F","표",,,,,,,
"㲐","U+3C90","금",,,,,,,
"㲑","U+3C91","수",,,,,,,
"㲒","U+3C92","포",,,,,,,
"㲓","U+3C93","수",,,,,,,
"㲔","U+3C94","선",,,,,,,
"㲕","U+3C95","래","내",,,,,,
"㲖","U+3C96","소",,,,,,,
"㲗","U+3C97","부",,,,,,,
"㲘","U+3C98","구",,,,,,,
"㲙","U+3C99","수",,,,,,,
"㲚","U+3C9A","사",,,,,,,
"㲛","U+3C9B","지",,,,,,,
"㲜","U+3C9C","담",,,,,,,
"㲝","U+3C9D","용","모",,,,,,
"㲞","U+3C9E","졸",,,,,,,
"㲟","U+3C9F","영",,,,,,,
"㲠","U+3CA0","리","이",,,,,,
"㲡","U+3CA1","내",,,,,,,
"㲢","U+3CA2","변",,,,,,,
"㲣","U+3CA3","수",,,,,,,
"㲤","U+3CA4","쇠",,,,,,,
"㲥","U+3CA5","당",,,,,,,
"㲦","U+3CA6","한",,,,,,,
"㲧","U+3CA7","소",,,,,,,
"㲨","U+3CA8","용",,,,,,,
"㲩","U+3CA9","탑",,,,,,,
"㲪","U+3CAA","등",,,,,,,
"㲫","U+3CAB","복",,,,,,,
"㲬","U+3CAC","초",,,,,,,
"㲭","U+3CAD","담",,,,,,,
"㲮","U+3CAE","탑",,,,,,,
"㲯","U+3CAF","람","남",,,,,,
"㲰","U+3CB0","녕","영",,,,,,
"㲱","U+3CB1","렵","엽",,,,,,
"㲲","U+3CB2","첩",,,,,,,
"㲳","U+3CB3","질",,,,,,,
"㲴","U+3CB4","중",,,,,,,
"㲵","U+3CB5","소",,,,,,,
"㲶","U+3CB6","록","녹",,,,,,
"㲷","U+3CB7","담",,,,,,,
"㲸","U+3CB8","흡",,,,,,,
"㲹","U+3CB9","기",,,,,,,
"㲺","U+3CBA","즐",,,,,,,
"㲻","U+3CBB","닉","익",,,,,,
"㲼","U+3CBC","예",,,,,,,
"㲽","U+3CBD","인",,,,,,,
"㲾","U+3CBE","우",,,,,,,
"㲿","U+3CBF","광",,,,,,,
"㳀","U+3CC0","과",,,,,,,
"㳁","U+3CC1","칙",,,,,,,
"㳂","U+3CC2","연",,,,,,,
"㳃","U+3CC3","쉬",,,,,,,
"㳄","U+3CC4","연",,,,,,,
"㳅","U+3CC5","류","유",,,,,,
"㳆","U+3CC6","통",,,,,,,
"㳇","U+3CC7","몰",,,,,,,
"㳈","U+3CC8","목",,,,,,,
"㳉","U+3CC9","월",,,,,,,
"㳊","U+3CCA","유",,,,,,,
"㳋","U+3CCB","구",,,,,,,
"㳌","U+3CCC","압",,,,,,,
"㳍","U+3CCD","포",,,,,,,
"㳎","U+3CCE","변",,,,,,,
"㳏","U+3CCF","사",,,,,,,
"㳐","U+3CD0","찰",,,,,,,
"㳑","U+3CD1","일",,,,,,,
"㳒","U+3CD2","법",,,,,,,
"㳓","U+3CD3","우",,,,,,,
"㳔","U+3CD4","대",,,,,,,
"㳕","U+3CD5","란","난",,,,,,
"㳖","U+3CD6","의",,,,,,,
"㳗","U+3CD7","채",,,,,,,
"㳘","U+3CD8","충",,,,,,,
"㳙","U+3CD9","연",,,,,,,
"㳚","U+3CDA","휼",,,,,,,
"㳛","U+3CDB","휴",,,,,,,
"㳜","U+3CDC","휴",,,,,,,
"㳝","U+3CDD","왕",,,,,,,
"㳞","U+3CDE","충",,,,,,,
"㳟","U+3CDF","홍",,,,,,,
"㳠","U+3CE0","답",,,,,,,
"㳡","U+3CE1","과","와",,,,,,
"㳢","U+3CE2","교",,,,,,,
"㳣","U+3CE3","노","로",,,,,,
"㳤","U+3CE4","숙",,,,,,,
"㳥","U+3CE5","롱","농",,,,,,
"㳦","U+3CE6","혜",,,,,,,
"㳧","U+3CE7","즙",,,,,,,
"㳨","U+3CE8","찰",,,,,,,
"㳩","U+3CE9","담",,,,,,,
"㳪","U+3CEA","비",,,,,,,
"㳫","U+3CEB","답",,,,,,,
"㳬","U+3CEC","선",,,,,,,
"㳭","U+3CED","연",,,,,,,
"㳮","U+3CEE","뇨","요",,,,,,
"㳰","U+3CF0","구",,,,,,,
"㳱","U+3CF1","양",,,,,,,
"㳲","U+3CF2","태",,,,,,,
"㳳","U+3CF3","극",,,,,,,
"㳴","U+3CF4","밀",,,,,,,
"㳵","U+3CF5","계",,,,,,,
"㳶","U+3CF6","유",,,,,,,
"㳷","U+3CF7","홀",,,,,,,
"㳸","U+3CF8","화",,,,,,,
"㳹","U+3CF9","왕",,,,,,,
"㳺","U+3CFA","유",,,,,,,
"㳻","U+3CFB","책",,,,,,,
"㳼","U+3CFC","필",,,,,,,
"㳽","U+3CFD","미",,,,,,,
"㳾","U+3CFE","강",,,,,,,
"㳿","U+3CFF","설",,,,,,,
"㴀","U+3D00","범",,,,,,,
"㴁","U+3D01","역",,,,,,,
"㴂","U+3D02","담",,,,,,,
"㴃","U+3D03","루","누",,,,,,
"㴄","U+3D04","앵",,,,,,,
"㴅","U+3D05","소",,,,,,,
"㴆","U+3D06","침",,,,,,,
"㴇","U+3D07","섭",,,,,,,
"㴈","U+3D08","은",,,,,,,
"㴉","U+3D09","제",,,,,,,
"㴊","U+3D0A","연",,,,,,,
"㴋","U+3D0B","숙","축",,,,,,
"㴌","U+3D0C","고",,,,,,,
"㴍","U+3D0D","승",,,,,,,
"㴎","U+3D0E","내",,,,,,,
"㴏","U+3D0F","왕",,,,,,,
"㴐","U+3D10","면",,,,,,,
"㴑","U+3D11","소",,,,,,,
"㴒","U+3D12","역",,,,,,,
"㴓","U+3D13","새",,,,,,,
"㴔","U+3D14","흡",,,,,,,
"㴕","U+3D15","매",,,,,,,
"㴖","U+3D16","박",,,,,,,
"㴗","U+3D17","유",,,,,,,
"㴘","U+3D18","모",,,,,,,
"㴙","U+3D19","삽",,,,,,,
"㴚","U+3D1A","수",,,,,,,
"㴛","U+3D1B","치",,,,,,,
"㴜","U+3D1C","편",,,,,,,
"㴝","U+3D1D","려","여",,,,,,
"㴞","U+3D1E","도",,,,,,,
"㴟","U+3D1F","후",,,,,,,
"㴠","U+3D20","함",,,,,,,
"㴡","U+3D21","향",,,,,,,
"㴢","U+3D22","중",,,,,,,
"㴣","U+3D23","이",,,,,,,
"㴤","U+3D24","주",,,,,,,
"㴥","U+3D25","초",,,,,,,
"㴦","U+3D26","궁",,,,,,,
"㴧","U+3D27","식",,,,,,,
"㴨","U+3D28","짐",,,,,,,
"㴩","U+3D29","옹",,,,,,,
"㴪","U+3D2A","얼",,,,,,,
"㴫","U+3D2B","군","아",,,,,,
"㴬","U+3D2C","사",,,,,,,
"㴭","U+3D2D","요",,,,,,,
"㴮","U+3D2E","설",,,,,,,
"㴯","U+3D2F","지",,,,,,,
"㴰","U+3D30","능",,,,,,,
"㴱","U+3D31","심",,,,,,,
"㴲","U+3D32","사",,,,,,,
"㴳","U+3D33","몽",,,,,,,
"㴴","U+3D34","침",,,,,,,
"㴵","U+3D35","밀",,,,,,,
"㴶","U+3D36","각",,,,,,,
"㴷","U+3D37","담",,,,,,,
"㴸","U+3D38","섬",,,,,,,
"㴹","U+3D39","미",,,,,,,
"㴺","U+3D3A","협",,,,,,,
"㴻","U+3D3B","두",,,,,,,
"㴼","U+3D3C","숙",,,,,,,
"㴽","U+3D3D","설",,,,,,,
"㴾","U+3D3E","발",,,,,,,
"㴿","U+3D3F","정",,,,,,,
"㵀","U+3D40","족",,,,,,,
"㵁","U+3D41","황",,,,,,,
"㵂","U+3D42","서",,,,,,,
"㵃","U+3D43","사",,,,,,,
"㵄","U+3D44","한",,,,,,,
"㵅","U+3D45","탐",,,,,,,
"㵆","U+3D46","호",,,,,,,
"㵇","U+3D47","첨",,,,,,,
"㵈","U+3D48","고",,,,,,,
"㵊","U+3D4A","납",,,,,,,
"㵋","U+3D4B","멱",,,,,,,
"㵌","U+3D4C","순",,,,,,,
"㵍","U+3D4D","문",,,,,,,
"㵎","U+3D4E","간",,,,,,,
"㵏","U+3D4F","최",,,,,,,
"㵐","U+3D50","궐",,,,,,,
"㵑","U+3D51","하",,,,,,,
"㵒","U+3D52","비",,,,,,,
"㵓","U+3D53","식",,,,,,,
"㵔","U+3D54","사",,,,,,,
"㵕","U+3D55","삼",,,,,,,
"㵖","U+3D56","녀","여",,,,,,
"㵗","U+3D57","빙",,,,,,,
"㵘","U+3D58","만",,,,,,,
"㵙","U+3D59","청",,,,,,,
"㵚","U+3D5A","부",,,,,,,
"㵛","U+3D5B","선",,,,,,,
"㵜","U+3D5C","남",,,,,,,
"㵝","U+3D5D","예",,,,,,,
"㵞","U+3D5E","수",,,,,,,
"㵟","U+3D5F","미",,,,,,,
"㵠","U+3D60","굴",,,,,,,
"㵡","U+3D61","박",,,,,,,
"㵢","U+3D62","뢰","뇌",,,,,,
"㵣","U+3D63","갈",,,,,,,
"㵤","U+3D64","삽",,,,,,,
"㵥","U+3D65","밀",,,,,,,
"㵦","U+3D66","수",,,,,,,
"㵧","U+3D67","갈",,,,,,,
"㵨","U+3D68","벽",,,,,,,
"㵩","U+3D69","예",,,,,,,
"㵪","U+3D6A","선","연",,,,,,
"㵫","U+3D6B","읍",,,,,,,
"㵬","U+3D6C","영",,,,,,,
"㵭","U+3D6D","저",,,,,,,
"㵮","U+3D6E","순",,,,,,,
"㵯","U+3D6F","풍","봉",,,,,,
"㵰","U+3D70","서",,,,,,,
"㵱","U+3D71","표",,,,,,,
"㵲","U+3D72","무",,,,,,,
"㵳","U+3D73","료","요",,,,,,
"㵴","U+3D74","장",,,,,,,
"㵵","U+3D75","추",,,,,,,
"㵶","U+3D76","설",,,,,,,
"㵷","U+3D77","변",,,,,,,
"㵸","U+3D78","약",,,,,,,
"㵹","U+3D79","맥",,,,,,,
"㵺","U+3D7A","패",,,,,,,
"㵻","U+3D7B","휴",,,,,,,
"㵼","U+3D7C","사",,,,,,,
"㵽","U+3D7D","뢰","뇌","류","유",,,,
"㵾","U+3D7E","정",,,,,,,
"㵿","U+3D7F","효",,,,,,,
"㶀","U+3D80","교",,,,,,,
"㶁","U+3D81","괵","획",,,,,,
"㶂","U+3D82","황",,,,,,,
"㶃","U+3D83","무",,,,,,,
"㶄","U+3D84","염",,,,,,,
"㶅","U+3D85","학",,,,,,,
"㶆","U+3D86","저",,,,,,,
"㶇","U+3D87","횡",,,,,,,
"㶈","U+3D88","영",,,,,,,
"㶉","U+3D89","계",,,,,,,
"㶊","U+3D8A","이",,,,,,,
"㶋","U+3D8B","유",,,,,,,
"㶌","U+3D8C","련","연",,,,,,
"㶍","U+3D8D","선",,,,,,,
"㶎","U+3D8E","환",,,,,,,
"㶏","U+3D8F","은",,,,,,,
"㶐","U+3D90","응",,,,,,,
"㶑","U+3D91","렴","염",,,,,,
"㶒","U+3D92","심",,,,,,,
"㶓","U+3D93","장",,,,,,,
"㶔","U+3D94","비",,,,,,,
"㶕","U+3D95","관",,,,,,,
"㶖","U+3D96","숙",,,,,,,
"㶗","U+3D97","반",,,,,,,
"㶘","U+3D98","점",,,,,,,
"㶙","U+3D99","유",,,,,,,
"㶚","U+3D9A","파",,,,,,,
"㶛","U+3D9B","여",,,,,,,
"㶜","U+3D9C","연",,,,,,,
"㶝","U+3D9D","응",,,,,,,
"㶞","U+3D9E","낭",,,,,,,
"㶟","U+3D9F","류","유",,,,,,
"㶠","U+3DA0","역",,,,,,,
"㶡","U+3DA1","화",,,,,,,
"㶣","U+3DA3","점","담",,,,,,
"㶤","U+3DA4","초",,,,,,,
"㶥","U+3DA5","간",,,,,,,
"㶦","U+3DA6","신",,,,,,,
"㶧","U+3DA7","눈",,,,,,,
"㶨","U+3DA8","배",,,,,,,
"㶩","U+3DA9","침",,,,,,,
"㶪","U+3DAA","배",,,,,,,
"㶫","U+3DAB","료","요",,,,,,
"㶬","U+3DAC","말",,,,,,,
"㶭","U+3DAD","유",,,,,,,
"㶮","U+3DAE","소",,,,,,,
"㶯","U+3DAF","류","유",,,,,,
"㶰","U+3DB0","함",,,,,,,
"㶱","U+3DB1","발",,,,,,,
"㶲","U+3DB2","용",,,,,,,
"㶳","U+3DB3","신",,,,,,,
"㶴","U+3DB4","치",,,,,,,
"㶵","U+3DB5","임",,,,,,,
"㶶","U+3DB6","농",,,,,,,
"㶷","U+3DB7","후",,,,,,,
"㶸","U+3DB8","협",,,,,,,
"㶹","U+3DB9","홍",,,,,,,
"㶺","U+3DBA","첨",,,,,,,
"㶻","U+3DBB","봉",,,,,,,
"㶼","U+3DBC","매",,,,,,,
"㶽","U+3DBD","과",,,,,,,
"㶾","U+3DBE","표",,,,,,,
"㶿","U+3DBF","발",,,,,,,
"㷀","U+3DC0","경",,,,,,,
"㷁","U+3DC1","통",,,,,,,
"㷂","U+3DC2","서",,,,,,,
"㷃","U+3DC3","추",,,,,,,
"㷄","U+3DC4","회","관",,,,,,
"㷅","U+3DC5","초",,,,,,,
"㷆","U+3DC6","부",,,,,,,
"㷇","U+3DC7","괴",,,,,,,
"㷈","U+3DC8","압",,,,,,,
"㷉","U+3DC9","위","울",,,,,,
"㷊","U+3DCA","분",,,,,,,
"㷋","U+3DCB","담",,,,,,,
"㷍","U+3DCD","륜","윤",,,,,,
"㷎","U+3DCE","알",,,,,,,
"㷏","U+3DCF","옹",,,,,,,
"㷐","U+3DD0","훼",,,,,,,
"㷑","U+3DD1","연","인",,,,,,
"㷒","U+3DD2","우",,,,,,,
"㷓","U+3DD3","총",,,,,,,
"㷔","U+3DD4","염",,,,,,,
"㷕","U+3DD5","추",,,,,,,
"㷖","U+3DD6","조",,,,,,,
"㷗","U+3DD7","경",,,,,,,
"㷘","U+3DD8","대",,,,,,,
"㷙","U+3DD9","전",,,,,,,
"㷚","U+3DDA","정",,,,,,,
"㷛","U+3DDB","보",,,,,,,
"㷜","U+3DDC","혁",,,,,,,
"㷝","U+3DDD","돌",,,,,,,
"㷞","U+3DDE","후",,,,,,,
"㷟","U+3DDF","퇴",,,,,,,
"㷠","U+3DE0","린","인",,,,,,
"㷡","U+3DE1","경",,,,,,,
"㷢","U+3DE2","차",,,,,,,
"㷣","U+3DE3","성",,,,,,,
"㷤","U+3DE4","혹",,,,,,,
"㷥","U+3DE5","증",,,,,,,
"㷦","U+3DE6","혁",,,,,,,
"㷧","U+3DE7","원",,,,,,,
"㷨","U+3DE8","봉",,,,,,,
"㷩","U+3DE9","희",,,,,,,
"㷪","U+3DEA","전",,,,,,,
"㷫","U+3DEB","경",,,,,,,
"㷬","U+3DEC","막",,,,,,,
"㷭","U+3DED","봉",,,,,,,
"㷮","U+3DEE","조",,,,,,,
"㷯","U+3DEF","봉",,,,,,,
"㷰","U+3DF0","치","리","이",,,,,
"㷱","U+3DF1","웅",,,,,,,
"㷳","U+3DF3","안",,,,,,,
"㷴","U+3DF4","력","역",,,,,,
"㷵","U+3DF5","묵",,,,,,,
"㷶","U+3DF6","벽","피",,,,,,
"㷷","U+3DF7","자",,,,,,,
"㷸","U+3DF8","엽",,,,,,,
"㷹","U+3DF9","도","소",,,,,,
"㷺","U+3DFA","염",,,,,,,
"㷻","U+3DFB","무",,,,,,,
"㷼","U+3DFC","연",,,,,,,
"㷾","U+3DFE","걸",,,,,,,
"㷿","U+3DFF","험",,,,,,,
"㸀","U+3E00","대",,,,,,,
"㸁","U+3E01","선","한",,,,,,
"㸂","U+3E02","수",,,,,,,
"㸃","U+3E03","점",,,,,,,
"㸄","U+3E04","제",,,,,,,
"㸅","U+3E05","절",,,,,,,
"㸆","U+3E06","고",,,,,,,
"㸇","U+3E07","찬",,,,,,,
"㸈","U+3E08","초",,,,,,,
"㸉","U+3E09","섭",,,,,,,
"㸊","U+3E0A","랄","날",,,,,,
"㸋","U+3E0B","번",,,,,,,
"㸌","U+3E0C","곽",,,,,,,
"㸍","U+3E0D","희",,,,,,,
"㸎","U+3E0E","녑","엽",,,,,,
"㸏","U+3E0F","미",,,,,,,
"㸐","U+3E10","연",,,,,,,
"㸑","U+3E11","촌",,,,,,,
"㸒","U+3E12","임",,,,,,,
"㸓","U+3E13","밀",,,,,,,
"㸔","U+3E14","간",,,,,,,
"㸕","U+3E15","확",,,,,,,
"㸖","U+3E16","저",,,,,,,
"㸗","U+3E17","동",,,,,,,
"㸘","U+3E18","만",,,,,,,
"㸙","U+3E19","차",,,,,,,
"㸚","U+3E1A","례","예",,,,,,
"㸛","U+3E1B","소",,,,,,,
"㸜","U+3E1C","공",,,,,,,
"㸝","U+3E1D","험","감",,,,,,
"㸞","U+3E1E","절",,,,,,,
"㸟","U+3E1F","지",,,,,,,
"㸠","U+3E20","조",,,,,,,
"㸡","U+3E21","수",,,,,,,
"㸢","U+3E22","비",,,,,,,
"㸣","U+3E23","업",,,,,,,
"㸤","U+3E24","편",,,,,,,
"㸥","U+3E25","참",,,,,,,
"㸦","U+3E26","호",,,,,,,
"㸧","U+3E27","간",,,,,,,
"㸨","U+3E28","구",,,,,,,
"㸩","U+3E29","안",,,,,,,
"㸪","U+3E2A","순",,,,,,,
"㸫","U+3E2B","전",,,,,,,
"㸬","U+3E2C","패",,,,,,,
"㸭","U+3E2D","파",,,,,,,
"㸮","U+3E2E","분",,,,,,,
"㸯","U+3E2F","과",,,,,,,
"㸰","U+3E30","타",,,,,,,
"㸱","U+3E31","타",,,,,,,
"㸲","U+3E32","작",,,,,,,
"㸳","U+3E33","령","영",,,,,,
"㸴","U+3E34","소",,,,,,,
"㸵","U+3E35","궤",,,,,,,
"㸶","U+3E36","안",,,,,,,
"㸷","U+3E37","세",,,,,,,
"㸸","U+3E38","우",,,,,,,
"㸹","U+3E39","렬","열",,,,,,
"㸺","U+3E3A","사",,,,,,,
"㸻","U+3E3B","사",,,,,,,
"㸼","U+3E3C","봉",,,,,,,
"㸽","U+3E3D","패",,,,,,,
"㸾","U+3E3E","인",,,,,,,
"㸿","U+3E3F","독",,,,,,,
"㹀","U+3E40","자",,,,,,,
"㹁","U+3E41","량","양",,,,,,
"㹂","U+3E42","견",,,,,,,
"㹃","U+3E43","비",,,,,,,
"㹄","U+3E44","직",,,,,,,
"㹅","U+3E45","총",,,,,,,
"㹆","U+3E46","휘",,,,,,,
"㹇","U+3E47","건","할",,,,,,
"㹈","U+3E48","리","이",,,,,,
"㹉","U+3E49","원",,,,,,,
"㹊","U+3E4A","악",,,,,,,
"㹋","U+3E4B","수",,,,,,,
"㹌","U+3E4C","산",,,,,,,
"㹍","U+3E4D","적",,,,,,,
"㹎","U+3E4E","루","누",,,,,,
"㹏","U+3E4F","근",,,,,,,
"㹐","U+3E50","송",,,,,,,
"㹑","U+3E51","사",,,,,,,
"㹒","U+3E52","박",,,,,,,
"㹓","U+3E53","요",,,,,,,
"㹔","U+3E54","강",,,,,,,
"㹕","U+3E55","환",,,,,,,
"㹖","U+3E56","환",,,,,,,
"㹗","U+3E57","도","채",,,,,,
"㹘","U+3E58","유",,,,,,,
"㹙","U+3E59","앵",,,,,,,
"㹚","U+3E5A","영",,,,,,,
"㹛","U+3E5B","요",,,,,,,
"㹜","U+3E5C","은",,,,,,,
"㹝","U+3E5D","시",,,,,,,
"㹞","U+3E5E","은",,,,,,,
"㹟","U+3E5F","결",,,,,,,
"㹠","U+3E60","돈",,,,,,,
"㹡","U+3E61","현",,,,,,,
"㹢","U+3E62","가",,,,,,,
"㹣","U+3E63","총",,,,,,,
"㹤","U+3E64","겁",,,,,,,
"㹥","U+3E65","주",,,,,,,
